Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
847912,Acme (historical),Populated Place,Mineral County,Nevada,Indian Head Peak,1353,38.5374227,-118.2951254,None,1/1/1991,null,null,null,null,32021,32
854873,Acoma,Populated Place,Lincoln County,Nevada,Acoma,1685,37.5483023,-114.1724807,None,12/12/1980,00100,U6,null,null,32017,32
855945,Adaven,Populated Place,Nye County,Nevada,Adaven,1940,38.1321656,-115.6003093,None,12/12/1980,00140,U6,null,null,32023,32
848206,Adelaide (historical),Populated Place,Humboldt County,Nevada,Adelaide,1743,40.8165709,-117.5256781,None,12/12/1980,00180,U6,null,null,32013,32
858674,Adits Mill (historical),Populated Place,Lander County,Nevada,Brewer Canyon,2349,39.2274289,-117.1364779,None,12/12/1980,00220,U6,null,null,32015,32
855946,Adverse,Populated Place,White Pine County,Nevada,McGill,1990,39.3813276,-114.7755721,None,12/12/1980,00260,U6,null,null,32033,32
850936,Afton (historical),Populated Place,Elko County,Nevada,Black Butte NE,1960,41.4776929,-115.1147757,None,4/1/1990,null,null,null,null,32007,32
845339,Alamo,Populated Place,Lincoln County,Nevada,Alamo,1057,37.3649613,-115.1644614,None,12/12/1980,00500,U5,null,null,32017,32
856181,Alazon,Populated Place,Elko County,Nevada,Metropolis,1708,41.1335324,-115.0300481,None,12/12/1980,00700,U6,null,null,32007,32
855947,Alkali,Populated Place,Esmeralda County,Nevada,Alkali,1524,37.8257658,-117.3375837,None,12/12/1980,00775,U6,null,null,32009,32
848275,Allred (historical),Populated Place,Nye County,Nevada,Blue Eagle Springs NE,1477,38.6782677,-115.5486413,None,2/1/1991,null,null,null,null,32023,32
838422,Alpha,Populated Place,Eureka County,Nevada,Mineral Hill SW,1800,40.0102012,-116.1931244,None,12/12/1980,00850,U6,null,null,32011,32
851899,Alpine (historical),Populated Place,Esmeralda County,Nevada,Gilbert SE,1652,38.0268757,-117.5645385,None,7/1/1990,null,null,null,null,32009,32
858468,Alum (historical),Populated Place,Esmeralda County,Nevada,North of Silver Peak,1531,37.9085422,-117.666762,None,5/1/1991,null,null,null,null,32009,32
858696,Amador (historical),Populated Place,Lander County,Nevada,Yankee Blade,1936,39.5596469,-117.0817576,None,12/12/1980,00925,U6,null,null,32015,32
851814,Amargosa (historical),Populated Place,Nye County,Nevada,Specter Range SW,845,36.5696774,-116.1583699,None,7/1/1990,null,null,null,null,32023,32
858057,Amargosa Valley,Populated Place,Nye County,Nevada,Amargosa Valley,812,36.6438422,-116.4003253,1/1/1983,12/12/1980,01000,U6,null,null,32023,32
855948,Amber,Populated Place,Clark County,Nevada,Overton,437,36.6080293,-114.4941492,None,12/12/1980,01300,U6,null,null,32003,32
848032,American City (historical),Populated Place,Storey County,Nevada,Virginia City,1642,39.2699121,-119.6612896,None,1/1/1991,null,null,null,null,32029,32
857669,American Flat (historical),Populated Place,Storey County,Nevada,Virginia City,1648,39.2707454,-119.6662899,None,5/1/1992,null,null,null,null,32029,32
858700,Amos (historical),Populated Place,Humboldt County,Nevada,Andorno Ranch,1324,41.3898993,-117.8093029,None,12/12/1980,null,null,null,null,32013,32
862973,Anderson (historical),Populated Place,Elko County,Nevada,Jacks Peak,1842,41.4671283,-116.1020334,None,8/1/1990,null,null,null,null,32007,32
855033,Andersons (historical),Populated Place,Washoe County,Nevada,Mount Rose NE,1380,39.4696332,-119.7971342,None,1/1/1991,01500,U6,null,null,32031,32
855949,Andys Place,Populated Place,Washoe County,Nevada,Swan Lake,1799,41.7943378,-119.3854816,None,12/12/1980,null,null,null,null,32031,32
846736,Angle City,Populated Place,Lincoln County,Nevada,Vigo,715,37.0433033,-114.5883251,None,10/1/1990,null,null,null,null,32017,32
854821,Antelope (historical),Populated Place,Nye County,Nevada,Fish Springs,2134,38.8210436,-116.4725686,None,11/1/1990,null,null,null,null,32023,32
